Year,Title,Director,Cast,Genre
2015,Friends or Foes,Ejike Chinedu Obim,Belinda EffahDaniella OkekeDabby ChimereJojo Charry,Drama
2015,Toka Mcbaror,Chelsea EzeIK Ogbonna,Romantic drama,Plus 66 Studios
2015,Bryan OkwaraBeverly NayaOmawumi MegbeleChelsea EzeKeira Hewatch,Musical,,[13]
2015,Wole OjoKalu IkeagwuTina MbaMoyo Lawal,Drama,Audio Visual First,[22]
2015,Ikechukwu Onyeka,Ramsey NouahJoke SilvaJoseph Benjamin,Drama,Crown Prince Productions  B-King Movies
2015,Shittu Taiwo,Omoni OboliChucks ChykeTehilla Adiele,Romantic Comedy,Reel Pixel Entertainment
2015,Kalu IkeagwuMoyo LawalMary Lazarus,Drama,,[24]
2015,The Boss is Mine,Okechukwu Oku,Bishop Ime UmohDaniella OkekeMichael Godson,Comedy
2015,Omoni OboliKalu IkeagwuNsikan Isaac,Romantic comedy,Rukky Sanda Productions,[15]
2015,Alexx EkuboBelinda EffahDaniella Okeke  Eddie Watson,Romantic drama,,[16]
2015,Rukky Sanda,Joseph BenjaminRukky SandaAlexx Ekubo,Romantic comedy,Rukky Sanda Productions
2015,Bryan OkwaraBelinda EffahLilian Esoro,Romantic Drama,,[18]
2015,Curtis Graham,Olu JacobsRichard Mofe DamijoIvie OkujayeDaniel K. DanielChucks Chyke,Drama,
2015,Michael Uadiale Jr,Jackie AppiahBobby Obodo,Drama,GenMeMoir
2015,Abiodun Williams,Clarion ChukwuraTony UmezAbiola Segun Williams,Drama,
2015,Ishaya Bako,Genevieve NnajiOris ErhueroMajid Michel,Comedy Thriller,The Entertainment Network
2015,Prince David Osei,Drama,,[42]
